,0,1
0,245114,165
1,1181919,165
2,1412300,165
3,1192374,687
4,418113,1285
5,1444741,1285
6,1444763,1285
7,678847,1791
8,1324698,1791
9,318910,1895
10,528697,3831
11,214931,3846
12,318910,3846
13,429687,3846
14,318910,4187
15,12354,4335
16,18694,4335
17,47117,4335
18,70671,4335
19,1065500,4335
20,1424541,4696
21,40302,4730
22,43543,4730
23,47117,4730
24,53976,4730
25,129356,4730
26,478760,4730
27,1306351,4730
28,1424541,4730
29,1446129,4730
30,12354,4959
31,43696,4959
32,362477,4959
33,432053,4959
34,528697,4959
35,544666,4959
36,1443230,4959
37,1443959,4959
38,1444763,4959
39,12354,4962
40,12354,5286
41,110848,5286
42,124197,5286
43,295212,5286
44,317301,5286
45,318910,5286
46,338095,5286
47,1192284,5286
48,50815,5638
49,57732,5638
50,1108321,5638
51,430676,5819
52,611495,6081
53,1445993,6869
54,53631,7270
55,384189,7270
56,430676,7270
57,576288,7270
58,843076,7270
59,1092252,7270
60,1446035,7270
61,1078932,7543
62,611495,7773
63,430676,7844
64,478710,7844
65,934041,7844
66,12354,8003
67,1444136,8407
68,70671,8797
69,77586,8797
70,649706,8805
71,1444464,8807
72,382009,9020
73,245932,9289
74,351169,9289
75,462831,9519
76,430676,11072
77,311534,11563
78,576288,11563
79,51904,11936
80,70671,11936
81,225537,11936
82,532206,11936
83,1116193,11936
84,1445760,11936
85,1445885,11936
86,1445982,11936
87,303081,12315
88,464907,12315
89,14064,13044
90,369177,13153
91,9519,13537
92,576288,13537
93,1404933,13537
94,1411442,13537
95,1443453,13537
96,1445671,13537
97,1445888,13537
98,299881,16222
99,1446117,17079
100,18710,17391
101,433360,18706
102,17391,18710
103,38624,19159
104,75970,19159
105,255886,19159
106,478400,19159
107,1181919,19159
108,1442901,19159
109,1444387,19159
110,1444759,19159
111,1445717,19159
112,1446035,19159
113,70671,19446
114,4959,20132
115,79382,20360
116,1139053,21464
117,1184765,21464
118,1406856,21470
119,12354,22021
120,71025,22021
121,186755,22299
122,308510,22299
123,352036,22299
124,1442858,22554
125,1445672,22554
126,299881,23173
127,1445861,23322
128,1424541,24756
129,381729,26010
130,470081,26010
131,611495,27135
132,1442828,27147
133,141723,27261
134,521911,27261
135,1424541,27261
136,69603,30190
137,70671,30190
138,940384,31952
139,1299987,31952
140,56392,34059
141,536277,34059
142,1213237,34059
143,47117,34710
144,430676,34710
145,1192374,34710
146,487763,35019
147,40302,35659
148,940384,35659
149,1445769,35659
150,70671,36024
151,318910,36024
152,1446035,36024
153,34059,37305
154,417807,37305
155,525289,37305
156,57732,37808
157,40302,38624
158,75970,38624
159,386221,38624
160,1444763,38624
161,1445717,38624
162,1445611,40302
163,98715,41829
164,47117,43520
165,430676,43520
166,1085804,43520
